Date,Open,High,Low,Close,Volume
2025-11-24,270.397645153795,276.48633959077114,270.397645153795,275.4083557128906,65585800
2025-11-25,274.75950033189645,279.8600396675645,274.7395483878858,276.45635986328125,46914200
2025-11-26,276.4464065684995,279.0116481613461,276.11703191175064,277.0353088378906,33431400
2025-11-28,276.7458380127342,278.4826014787427,275.4781737009374,278.3328857421875,20135600
2025-12-01,277.4944549964911,282.89442609469603,275.62792768573877,282.57501220703125,46587700
2025-12-02,282.47518456741903,286.86701880065203,282.10587559562896,285.6592712402344,53669500
2025-12-03,285.6692634925469,288.0847586222564,282.77461708045536,283.623046875,43538700
2025-12-04,283.5731318378766,284.20196835267484,278.07334059490756,280.179443359375,43989100
2025-12-05,280.01974631085085,280.6186397013617,277.53434330937836,278.26300048828125,47265800
2025-12-08,277.6142094762677,279.15136205700173,275.6378704438954,277.3746643066406,38211800
2025-12-09,277.6441787437343,279.5107061083118,276.4064879695729,276.6659851074219,32193300
2025-12-10,277.23491184461454,279.2312028389952,275.92734368017386,278.26300048828125,33038300
2025-12-11,278.5824273392719,279.07150890817053,273.3022288840155,277.514404296875,33248000
2025-12-12,277.38461586894516,278.70217518025987,276.30663218031253,277.763916015625,39532900
2025-12-15,279.63046152672615,279.63046152672615,272.33402020742307,273.6016540527344,50409100
2025-12-16,272.3140798989353,274.9891026980292,271.2859911871425,274.1007385253906,37648600
2025-12-17,274.50001118897205,275.6478724530811,271.13626563598973,271.33587646484375,50138700
2025-12-18,273.1025913325419,273.12257373871984,266.4549687260805,271.68524169921875,51630700
2025-12-19,271.6453053723066,274.09077415448866,269.399477884542,273.1625061035156,144632000
2025-12-22,272.3539780142796,273.37210596231955,270.00836035897595,270.4674987792969,36571800
2025-12-23,270.3377490962612,271.99467443806464,269.06012395403746,271.85491943359375,29642000
2025-12-24,271.8349404799371,274.9192064044749,271.69521595033444,273.3022155761719,17910600
2025-12-26,273.65160578690546,274.8593534534055,272.35399820928086,272.89300537109375,21521800
2025-12-29,272.1843267483383,273.8512128461511,271.8449608988494,273.2523498535156,23715200
2025-12-30,272.30405905646904,273.57169281796894,271.77504318392386,272.57354736328125,22139600
2025-12-31,272.553621806917,273.17246717497864,271.24605357156486,271.3558349609375,27293600
